run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,bestepoch,totalepochs,loss,stopreason
18,pendigits,16,10,368.4333468,0.9578063717002399,0.9217243542247815,1.0,0.9959977129788451,328,355,0.009093173378752142,consecincrease
19,pendigits,16,10,187.0185605,0.9592937023431605,0.9212738389900839,0.9993327995729917,0.9931389365351629,128,180,0.009170154723695706,consecincrease
20,pendigits,16,10,77.9214741,0.9584074052163352,0.9138297783302187,0.9994662396583934,0.9937106918238994,61,75,0.00983791266653225,consecincrease
21,pendigits,16,10,145.1036221,0.9556998396862877,0.9222008590358002,0.999599679743795,0.9939965694682675,117,140,0.0088441351468795,consecincrease
22,pendigits,16,10,124.1602622,0.9564328229651883,0.919575093436476,0.9998665599145984,0.9948542024013722,118,120,0.008978594521306699,consecincrease
23,pendigits,16,10,181.4054585,0.9587654239136741,0.9172117949794254,0.999599679743795,0.9928530588907948,157,175,0.009498234760287787,consecincrease
24,pendigits,16,10,1320.9781882,0.9568219177785234,0.9159255098940668,0.9998665599145984,0.9934248141795312,190,1275,0.008945816340047222,consecincrease
25,pendigits,16,10,88.3107247,0.9547558656443862,0.9136179350618621,0.9989324793167867,0.9939965694682675,59,85,0.010179268318356348,consecincrease
26,pendigits,16,10,113.9659599,0.9591730847364299,0.9153206824729138,0.999599679743795,0.9931389365351629,41,110,0.009752213527242535,consecincrease
27,pendigits,16,10,140.1404694,0.9594002998163521,0.922682987795864,0.9998665599145984,0.9965694682675815,115,135,0.00851281323174972,consecincrease
28,pendigits,16,10,186.6228541,0.9549000894792734,0.9175404134263608,0.9998665599145984,0.9937106918238994,101,180,0.009349592831641327,consecincrease
29,pendigits,16,10,547.7551366,0.9576476418596116,0.9209778201890824,1.0,0.9959977129788451,478,530,0.00887376445472685,consecincrease
30,pendigits,16,10,330.344969,0.957151975597197,0.9123508964049986,0.9998665599145984,0.9942824471126358,197,320,0.009775701448073871,consecincrease
1,poker,10,10,1065.0132603,0.1332254846260858,0.12277447754242839,0.6616153538584566,0.642908,260,260,0.05224530866708327,noprogress
