run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,nsel,nenhanced,sel,coefs
11,cancer,34,2,0.5084043,0.9559605982168536,0.9814016460612107,0.96,0.9827586206896551,"[18]","[10]","[11101110111001010000110000011000111]","[[1.683729889151641,0.02943141900305623,0.17858891084879885,0.0,-0.5641755762832662,0.2160850737840479,-0.16355423221442786,0.0,0.23144555839321468,-0.36852668082499623,-0.083857472359023,0.0,0.0,0.40314174436250394,0.0,0.4935597685845894,0.0,0.0,0.0,0.0,-0.21093981052620064,-0.5231743959073298,0.0,0.0,0.0,0.0,0.0,-0.7227426476668469,0.038043786442114105,0.0,0.0,0.0,-0.6441091773978191,-0.05527901305395608,-0.04246862977477873]]"
12,cancer,34,2,0.0040476,0.9494748998520337,0.9687892376681615,0.9542857142857143,0.9712643678160919,"[18]","[13]","[11000110010110011010111001011010100]","[[1.2739437066977302,0.46881099867074977,0.0,0.0,0.0,-0.16590175131463056,0.009111247211478737,0.0,0.0,-0.11810418585119396,0.0,-0.021163472733360215,-0.002349370786682347,0.0,0.0,-0.046202524997089066,-0.474080384143792,0.0,-0.21151431335516202,0.0,-0.32949193501439383,-0.6680041005866971,0.09776082758568432,0.0,0.0,-0.10683782634379207,0.0,-0.1893144881578565,0.0035577077901146298,0.0,0.25582314892742136,0.0,-0.15987368516179923,0.0,0.0]]"
13,cancer,34,2,0.0030907,0.9464210137684488,0.975117975117975,0.9514285714285714,0.9770114942528736,"[18]","[11]","[11110011100111001110111000001100000]","[[0.934239537717052,0.4130357075864138,0.17389982821897254,-0.11455960602257853,0.0,0.0,0.4614581969001794,0.7039738534937168,-0.5138423454344433,0.0,0.0,-0.3859879888274988,-0.7372101156366465,-0.013000612774171277,0.0,0.0,-0.3441029551297924,-0.2787231570680629,0.042871494366987645,0.0,0.09742383325977857,-0.3160686122139546,-0.004304438300792929,0.0,0.0,0.0,0.0,0.0,0.5770068206808678,0.1874274910281138,0.0,0.0,0.0,0.0,0.0]]"
14,cancer,34,2,0.5054088,0.9529042386185244,0.962413594470046,0.9571428571428572,0.9655172413793104,"[18]","[10]","[11110110111000100100101110100011000]","[[1.0353185021848317,0.2577881793785509,0.005863183256809794,0.4577767074595444,0.0,-0.06418382377769118,0.5620196403328265,0.0,-0.40867569332823106,-0.21798024844276212,0.38083584765576217,0.0,0.0,0.0,-0.8305586906235262,0.0,0.0,-0.050826397686907644,0.0,0.0,-0.06510287553594951,0.0,0.12672033183787143,-0.3964002594599491,0.018061805158650864,0.0,-0.38201998771128914,0.0,0.0,0.0,0.22355088475441542,-0.04430325229956436,0.0,0.0,0.0]]"
15,cancer,34,2,0.5030169,0.9429347826086957,0.9814016460612107,0.9485714285714286,0.9827586206896551,"[18]","[12]","[11100110100111000110111010000100110]","[[1.024330428587002,0.3851682216191823,-0.03294299184226212,0.0,0.0,0.23136877823769597,0.27139456264038525,0.0,-0.09226016041598421,0.0,0.0,-0.016429026986683866,-0.2542290522138397,-0.22327150103498764,0.0,0.0,0.0,-0.2956210668931763,-0.1913171438256977,0.0,-0.34723487045407836,-0.08874371545528285,0.12122627237971115,0.0,-0.39930966627120795,0.0,0.0,0.0,0.0,0.09087494622201674,0.0,0.0,-0.10285628654539779,0.010723938843808923,0.0]]"
16,cancer,34,2,0.0028562,0.9498585294222985,0.975117975117975,0.9542857142857143,0.9770114942528736,"[18]","[12]","[11100101101100111011110010000001010]","[[-0.2812834611457097,0.5280340005199138,-0.13020126062679874,0.0,0.0,0.07949357346078223,0.0,0.5765409701477336,0.39600584617856044,0.0,-0.2434848205917388,0.6202727710620567,0.0,0.0,0.20193530790181033,-0.5459696394344915,-0.1305678094081056,0.0,0.7291625787974009,-0.37638267662568,-0.07085706305183356,0.07560360533451078,0.0,0.0,0.21809019103610022,0.0,0.0,0.0,0.0,0.0,0.0,0.17090181517530373,0.0,-0.3899556385934435,0.0]]"
17,cancer,34,2,0.0038495,0.9532498063206263,0.9814016460612107,0.9571428571428572,0.9827586206896551,"[18]","[11]","[11111011000101011110000011000100011]","[[0.4099990184339244,0.23074076350798947,0.381408843180321,0.05729517700489015,-0.3122583143547874,0.0,0.42970576424849627,0.13699420781447347,0.0,0.0,0.0,-0.16255157123193295,0.0,0.37142078667603085,0.0,-0.13429608487611186,-0.44935242194303404,-0.39579312119888377,0.4382372889430415,0.0,0.0,0.0,0.0,0.0,-0.10998798204993064,-0.12720337740291954,0.0,0.0,0.0,0.15711532384324212,0.0,0.0,0.0,-0.12305352127935654,-0.031128452487528366]]"
18,cancer,34,2,0.0032664,0.9562874678846702,0.975117975117975,0.96,0.9770114942528736,"[18]","[10]","[11111101011011110000011010010000001]","[[0.4772168176264311,0.3226076543680841,0.34380559712862496,0.15738000074423097,-0.27887506744785595,0.13018056728484992,0.0,0.20936130729356195,0.0,0.2602400879191637,0.21111090474207592,0.0,-0.7157602498001798,-0.1739308691992775,-0.028366701259545116,-0.28813004709067436,0.0,0.0,0.0,0.0,0.0,-0.10675688339357782,0.031615719559274405,0.0,0.4134619592950857,0.0,0.0,-0.049064033956149354,0.0,0.0,0.0,0.0,0.0,0.0,-0.31093046303933786]]"
19,cancer,34,2,0.003362,0.9527244239133371,0.9687892376681615,0.9571428571428572,0.9712643678160919,"[18]","[11]","[11110011101010000010101110000111010]","[[0.2677799388091045,0.21766420655476357,0.5379583749623568,0.2863731185067956,0.0,0.0,-0.11870871224334012,0.21989477046599834,0.03670221815475439,0.0,-0.6325267907234104,0.0,-0.20201230789366642,0.0,0.0,0.0,0.0,0.0,-0.4206078453710518,0.0,-0.44544665025566454,0.0,-0.30889905585505706,0.42391145502940414,0.6211697045087733,0.0,0.0,0.0,0.0,0.15649454951389963,-0.005939630568036767,0.17328635561656802,0.0,-0.11294306416399832,0.0]]"
20,cancer,34,2,0.5124059,0.9562874678846702,0.9814016460612107,0.96,0.9827586206896551,"[18]","[15]","[11100000000110111111101011101000001]","[[0.5221802194755505,0.5639669108397688,0.32228178203852015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04298894415148727,-0.5375233654685867,0.0,-0.37234705282205777,0.19789210259643278,0.3073698817971005,-0.20667442966805297,-0.2962715462339598,-0.2760031228672709,0.3303172381690795,0.0,-0.37767282946488034,0.0,0.06116541240049369,0.2771281869124676,-0.21015166114900263,0.0,0.4313984034789275,0.0,0.0,0.0,0.0,0.0,0.17650155915241475]]"
