run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,nsel,nenhanced,sel,coefs
24,cancer,34,2,0.0640495,0.9470164471633764,0.975117975117975,0.9514285714285714,0.9770114942528736,"[11]","[6]","[11110001000000010000101000000011001]","[[0.13866461083839987,0.30717760228118807,0.5221534874728455,0.389771733703045,0.0,0.0,0.0,0.5415634969985154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053553017268128,0.0,0.0,0.0,0.0,0.43390835522077037,0.0,-0.3260727224775477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4313230530472632,-0.6187255817644747,0.0,0.0,0.16568305342363532]]"
25,cancer,34,2,0.0776509,0.9561262132445113,0.9687892376681615,0.96,0.9712643678160919,"[9]","[7]","[10100000001001011100010010000000000]","[[1.3497544394648981,0.0,0.2367570918231932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3843619853245557,0.0,0.0,-0.7405981332341987,0.0,-0.26776725783313526,-0.2930664451878773,-0.6227128400295805,0.0,0.0,0.0,-0.23757223628307955,0.0,0.0,-0.4189130074919041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
26,cancer,34,2,0.0228136,0.9593354246543511,0.9687892376681615,0.9628571428571429,0.9712643678160919,"[6]","[4]","[10000000101000100100000000000000001]","[[0.9155513236352374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199544462150391,0.0,-0.16338565746613454,0.0,0.0,0.0,0.23303235955227095,0.0,0.0,-0.41085080042722566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.714912995784365]]"
27,cancer,34,2,0.0837824,0.9527244239133371,0.962413594470046,0.9571428571428572,0.9655172413793104,"[8]","[6]","[10000000010011000000010000011100000]","[[1.4893381090143172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4120452680575065,0.0,0.0,-0.1851161086032068,-0.41626140452918786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4785016560597079,0.0,0.0,0.0,0.0,0.0,-0.6955436133634258,0.32904822541465967,-0.4643676167414184,0.0,0.0,0.0,0.0,0.0]]"
28,cancer,34,2,0.033915,0.9496692551049756,0.9876420454545455,0.9542857142857143,0.9885057471264368,"[5]","[4]","[10000000000000000000010100000001010]","[[1.6004502167623609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37961107930957194,0.0,-0.5885630611964479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8759585389777824,0.0,-0.2926264188376287,0.0]]"
29,cancer,34,2,0.0279952,0.9527244239133371,0.9814016460612107,0.9571428571428572,0.9827586206896551,"[5]","[3]","[10000000100100010000000000000001000]","[[1.1736675827166174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19202137840853103,0.0,0.0,-0.5046614054597238,0.0,0.0,0.0,-0.6875437455520353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23185130302931994,0.0,0.0,0.0]]"
30,cancer,34,2,0.0276802,0.9562874678846702,0.975117975117975,0.96,0.9770114942528736,"[5]","[3]","[11000000001100000000000000000000001]","[[0.7905529919356684,0.31998498847275075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35976327809088027,-0.645522018299682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3269874638962018]]"
1,card,74,2,0.1302554,0.8663421371782778,0.8546462495352061,0.8666666666666667,0.8546511627906976,"[7]","[1]","[100000000100000000000000000100000000000001000000110000000000000000000010000]","[[0.8812961769288619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8618369110434464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19111647778736165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6346728336843237,0.0,0.0,0.0,0.0,0.0,0.0,0.5769294786111916,-0.30358244640091314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24155379033997992,0.0,0.0,0.0,0.0]]"
2,card,74,2,0.093822,0.846247635064116,0.8604651162790697,0.8463768115942029,0.8604651162790697,"[6]","[0]","[100000000100000000000000000000010000000001000000110000000000000000000000000]","[[0.9513816034315153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9044863565478747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.129337212072909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6345959505210217,0.0,0.0,0.0,0.0,0.0,0.0,0.6292540113583597,-0.32939182917798887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
3,card,74,2,0.1031842,0.8663421371782778,0.8604651162790697,0.8666666666666667,0.8604651162790697,"[7]","[1]","[100000000100000001000000000000000000000001000000110000000000000000000000010]","[[0.8602236635111165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.720231897911439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19336970571992973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6510075065694509,0.0,0.0,0.0,0.0,0.0,0.0,0.6517599406761092,-0.33085929347745263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21601096851236015,0.0]]"
4,card,74,2,0.0957139,0.8519948519948519,0.8604462474645029,0.8521739130434782,0.8604651162790697,"[7]","[1]","[100000000100000000000000000000010000000001000000110000000000000000000100000]","[[0.9150121564898628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.083429219639478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17937003793846967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6324593625990556,0.0,0.0,0.0,0.0,0.0,0.0,0.6866702409977884,-0.29840867744264893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1943143354051167,0.0,0.0,0.0,0.0,0.0]]"
5,card,74,2,0.1402885,0.8605309257512465,0.8720757268424612,0.8608695652173913,0.872093023255814,"[9]","[2]","[100000000110000000000000000000010000000001000000110000000010000001000000000]","[[0.9826179176281848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9428912958578433,-0.6042777824195416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11421903008153848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6319081875244916,0.0,0.0,0.0,0.0,0.0,0.0,0.64044259153148,-0.3288270916233227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18228410298171238,0.0,0.0,0.0,0.0,0.0,0.0,-0.13467980867308452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
6,card,74,2,0.1116218,0.8691253951527924,0.8662383770076078,0.8695652173913043,0.8662790697674418,"[8]","[2]","[100000000100000000000000000100000000000001000000110100000000010000000000000]","[[0.7783932621262706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8473259611406961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1675061722758251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6319321675253404,0.0,0.0,0.0,0.0,0.0,0.0,0.5696000632348648,-0.2468101743764917,0.0,0.1546540557066148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17503287321211836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
7,card,74,2,0.1000868,0.8489085028971837,0.8603896103896104,0.8492753623188406,0.8604651162790697,"[7]","[3]","[100000000100000000000000000000000000000001000000010000000000000000000001011]","[[0.7757557142710528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7692543370792849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6576286181811022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26778846207519363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1735511355859792,0.0,0.1400030889834407,0.2079879614909096]]"
8,card,74,2,0.0984405,0.8519948519948519,0.8604651162790697,0.8521739130434782,0.8604651162790697,"[7]","[1]","[100000000100000000000000000000000000000001100000110010000000000000000000000]","[[1.0205095384995442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.847767598426139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.641371671016322,-0.11966318173416261,0.0,0.0,0.0,0.0,0.0,0.5660702062820347,-0.26361751402663774,0.0,0.0,-0.20894628767072432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
9,card,74,2,0.1118876,0.85758333965173,0.8604462474645029,0.8579710144927536,0.8604651162790697,"[8]","[2]","[100000000100000000000000000000010000000001000000110000000000000000010010000]","[[1.1123139313006845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8624044598923603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12255778872594408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6701895266180228,0.0,0.0,0.0,0.0,0.0,0.0,0.630255006105117,-0.3368907124429799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17635768198404228,0.0,0.0,-0.13625623133358417,0.0,0.0,0.0,0.0]]"
10,card,74,2,0.0973382,0.8491219807575859,0.8604462474645029,0.8492753623188406,0.8604651162790697,"[7]","[1]","[100000000100000000000000000000010000000001000000110000000000000000000000100]","[[1.0216277110357623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.998139201402784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15088267488378115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6345076520209089,0.0,0.0,0.0,0.0,0.0,0.0,0.6359020584293787,-0.27092132609797875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1545617788211721,0.0,0.0]]"
11,card,74,2,0.1203793,0.8633087460484721,0.8720757268424612,0.863768115942029,0.872093023255814,"[9]","[2]","[100000000100000000100000000000010000000001000000111001000000000000000000000]","[[0.883741787691658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.676128562596627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17638442961449577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13392697350053795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6260145036239106,0.0,0.0,0.0,0.0,0.0,0.0,0.5768035956223205,-0.2988397944331994,0.22258441341291804,0.0,0.0,-0.2802541259819795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
12,card,74,2,0.1635151,0.8633962645639043,0.8661659731384688,0.863768115942029,0.8662790697674418,"[10]","[1]","[101000001100000000000000000000010000000001100000110000000000000000100000000]","[[0.961148699850668,0.0,0.12884132710105461,0.0,0.0,0.0,0.0,0.0,0.14362430098315393,-0.9989120154075187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1618294136314643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.541847680383289,-0.10407081010436915,0.0,0.0,0.0,0.0,0.0,0.6666257098343634,-0.3007240893681135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.261914324609142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
13,card,74,2,0.132604,0.854866392946086,0.8662383770076078,0.855072463768116,0.8662790697674418,"[7]","[1]","[100000000100000000000000000000010000000001000000110000001000000000000000000]","[[0.895368679376309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9525307633524758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13444535819530637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64635329716217,0.0,0.0,0.0,0.0,0.0,0.0,0.6778926030398288,-0.2941230230792805,0.0,0.0,0.0,0.0,0.0,0.0,0.16127679967526642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
