run,dataset,nin,nout,ftrain,ftest
18,gene,145,3,0.8983809273855483,0.8483743382505523
19,gene,145,3,0.8968184842402037,0.8468862483304226
20,gene,145,3,0.9005794618131535,0.8441422569853899
21,gene,145,3,0.9010572797129721,0.8476760744335229
22,gene,145,3,0.9042577239230057,0.8574251825349853
23,gene,145,3,0.9095355710997183,0.8533479888051593
24,gene,145,3,0.9032362506104649,0.8418411291515184
25,gene,145,3,0.9010578229375333,0.8371487313834151
26,gene,145,3,0.9042344766881456,0.844073342032677
27,gene,145,3,0.8985468155094316,0.8497086593030536
28,gene,145,3,0.9012235685891259,0.8509956944844776
29,gene,145,3,0.9008968648539822,0.84498758005709
30,gene,145,3,0.898630469168665,0.8449463161791929
31,gene,145,3,0.8981795669199641,0.8321416207729806
32,gene,145,3,0.9012683125491989,0.8369646414136137
33,gene,145,3,0.9062420494379579,0.8517686507822582
34,gene,145,3,0.9009908848833712,0.851671021293244
35,gene,145,3,0.9056998667238948,0.8464596524966281
36,gene,145,3,0.9066266745606328,0.8576511975662222
37,gene,145,3,0.9007610265959035,0.8444143635910475
38,gene,145,3,0.9037689674025078,0.8503865773951857
39,gene,145,3,0.8994496145539648,0.8472240350435505
40,gene,145,3,0.9042298760883982,0.8411569945675282
41,gene,145,3,0.9023077788725969,0.8482738034564098
42,gene,145,3,0.902178970854728,0.8550210920236028
43,gene,145,3,0.906241307208294,0.8506984264689668
44,gene,145,3,0.9069095844729868,0.8573305266556801
45,gene,145,3,0.9041951506756556,0.8576069108302992
46,gene,145,3,0.9022787462263065,0.8272378887981467
47,gene,145,3,0.9010586425419728,0.8494810695592262
48,gene,145,3,0.8959257587142001,0.8383510371240432
49,gene,145,3,0.897416082741555,0.8505592322220433
50,gene,145,3,0.9023600806969453,0.852996345192233
1,glass,34,6,0.8156401460749287,0.5302832244008715
2,glass,34,6,0.7752682430714467,0.39089878375592657
3,glass,34,6,0.7719769119769119,0.5069444444444444
4,glass,34,6,0.755730763007651,0.4694867194189504
5,glass,34,6,0.9019501625135428,0.4254065262468624
6,glass,34,6,0.7577050734945473,0.3133333333333333
7,glass,34,6,0.7682680630864073,0.4892262281256589
8,glass,34,6,0.7665923970271796,0.5651960784313725
9,glass,34,6,0.7655988455988455,0.49264705882352944
10,glass,34,6,0.8284277873318969,0.5344974353377715
11,glass,34,6,0.850441400304414,0.5337878787878788
12,glass,34,6,0.8505306226825214,0.5423809523809523
13,glass,34,6,0.7550125313283208,0.49449275362318834
14,glass,34,6,0.7540516165516166,0.5824779911964786
15,glass,34,6,0.8171526789947844,0.5495878857580985
16,glass,34,6,0.8463104731525783,0.5855392156862745
17,glass,34,6,0.8374800637958533,0.5807878787878787
18,glass,34,6,0.8214578214578214,0.5084615384615384
19,glass,34,6,0.8469764455679948,0.4127176015473888
20,glass,34,6,0.8369369369369369,0.4280045351473923
21,glass,34,6,0.8416814984320705,0.524952380952381
22,glass,34,6,0.795849420849421,0.4587340312469074
23,glass,34,6,0.8159282263630089,0.4557823129251701
24,glass,34,6,0.8929729729729731,0.44086021505376344
25,glass,34,6,0.8259641180415828,0.5175341574495771
26,glass,34,6,0.8202664072917237,0.5311594202898551
27,glass,34,6,0.8145544607332639,0.41995464852607706
28,glass,34,6,0.817271218587008,0.4678209993674889
29,glass,34,6,0.8345096932053453,0.5335697399527186
30,glass,34,6,0.8514914914914914,0.4061379928315412
31,glass,34,6,0.8463495963495964,0.5796118447378952
32,glass,34,6,0.8244635798983625,0.564928382700598
33,glass,34,6,0.8072263993316624,0.5712418300653594
34,glass,34,6,0.791413875317985,0.3378684807256236
