run,dataset,nin,nout,ftrain,ftest
39,card,74,2,0.8835403726708074,0.8718157181571815
40,card,74,2,0.8891763035098397,0.8720757268424612
41,card,74,2,0.8835403726708074,0.8428904902060286
42,card,74,2,0.8862069840410687,0.8425922787513134
43,card,74,2,0.8921410404819643,0.8603896103896104
44,card,74,2,0.8951013513513513,0.8488372093023255
45,card,74,2,0.8834459459459459,0.8604462474645029
46,card,74,2,0.8889585309662555,0.8546069315300084
47,card,74,2,0.8980573917888712,0.8546462495352061
48,card,74,2,0.8921410404819643,0.8778037146046889
49,card,74,2,0.8687003662012331,0.8486530391227833
50,card,74,2,0.8834459459459459,0.8657298985167837
1,gene,145,3,0.9041072867427555,0.8446944673354628
2,gene,145,3,0.9048887414301022,0.8353263528596786
3,gene,145,3,0.9033266483160757,0.8431262988276268
4,gene,145,3,0.8957603918469189,0.8451415951447926
5,gene,145,3,0.9015835295095891,0.8469124367470084
6,gene,145,3,0.9025083756618771,0.8429465048713771
7,gene,145,3,0.9077422148801952,0.834693776782291
8,gene,145,3,0.894982631040251,0.846572791662544
9,gene,145,3,0.9061114945172916,0.8489104001569375
10,gene,145,3,0.9076954732510288,0.849029931252506
11,gene,145,3,0.8982734667195008,0.8472247547332321
12,gene,145,3,0.9043412504315134,0.8402987827460113
13,gene,145,3,0.9025925102294966,0.8565904436690953
14,gene,145,3,0.9046845694410881,0.8583581039239988
15,gene,145,3,0.9042172023812111,0.8429834785857931
16,gene,145,3,0.903541481014153,0.851631255984549
17,gene,145,3,0.9013742122753664,0.8518752874917258
18,gene,145,3,0.9077527991768153,0.8439605922327628
19,gene,145,3,0.8992086559478997,0.8444720205559921
20,gene,145,3,0.8962105060013824,0.8414489471516472
21,gene,145,3,0.9062228638613541,0.8460513692438907
22,gene,145,3,0.8943445085784849,0.8495620789776451
23,gene,145,3,0.9031077252295515,0.8513511101592061
24,gene,145,3,0.9072852510364907,0.8411019477923234
25,gene,145,3,0.9076564106980619,0.8536360994505946
26,gene,145,3,0.9003556092820859,0.8470868089408876
27,gene,145,3,0.9025753240790122,0.8520295047678165
28,gene,145,3,0.9046614038034431,0.8383597930427905
29,gene,145,3,0.9004653538461161,0.8372761570752961
30,gene,145,3,0.9002077750996712,0.8400146249493923
31,gene,145,3,0.9024488041243188,0.8506023881721606
32,gene,145,3,0.9071558301328245,0.8356773098146194
33,gene,145,3,0.9083694010321745,0.8491107757956292
34,gene,145,3,0.901610157871913,0.8502413027150549
35,gene,145,3,0.8994241229547839,0.8365502274877471
36,gene,145,3,0.903890666309206,0.8529041554138633
37,gene,145,3,0.9068558436410893,0.8392574061642151
38,gene,145,3,0.9007595293043275,0.8515184346690488
39,gene,145,3,0.8968884271050289,0.8495886430501081
40,gene,145,3,0.9038385862468384,0.8556530928236502
41,gene,145,3,0.9031419542037192,0.8388121690755378
42,gene,145,3,0.9043811115767055,0.8423805542110333
43,gene,145,3,0.9018300254180814,0.850723254849658
44,gene,145,3,0.895138020633316,0.8372457179330463
45,gene,145,3,0.9066631926350529,0.8432559597075803
46,gene,145,3,0.9034868449551091,0.8581550166145773
47,gene,145,3,0.9014018819647583,0.8391189401739702
48,gene,145,3,0.9018197301048333,0.846263711771401
49,gene,145,3,0.8972095065056452,0.8402575226083954
50,gene,145,3,0.9040608228636083,0.842529032305883
1,glass,34,6,0.8792085235920851,0.531823708206687
2,glass,34,6,0.8371473319656761,0.4568150448585231
3,glass,34,6,0.8134935856454844,0.4397979797979798
4,glass,34,6,0.7225295529643355,0.4527674706246135
5,glass,34,6,0.8211321369216106,0.4631642512077294
6,glass,34,6,0.7783046481676618,0.5505565862708719
7,glass,34,6,0.8116123642439432,0.5514842300556586
8,glass,34,6,0.8127667140825036,0.5686666666666667
9,glass,34,6,0.7903688221193942,0.47870602141565843
10,glass,34,6,0.8665945165945166,0.5568627450980392
11,glass,34,6,0.8321325821325821,0.5593274394988965
12,glass,34,6,0.8306425309849969,0.42308441106939226
13,glass,34,6,0.8504901960784315,0.48372847011144876
14,glass,34,6,0.8577996984990496,0.47284851164161507
15,glass,34,6,0.81998361998362,0.514074074074074
16,glass,34,6,0.8090882509303562,0.568877763871506
17,glass,34,6,0.787015912015912,0.4250063661828367
18,glass,34,6,0.8082446390218875,0.6156793145654834
19,glass,34,6,0.8124488124488124,0.511
20,glass,34,6,0.8073226613489933,0.49360544217687075
21,glass,34,6,0.8213617376775272,0.46527777777777773
22,glass,34,6,0.763864734299517,0.48183333333333334
23,glass,34,6,0.8169172932330827,0.540955091714105
24,glass,34,6,0.7825114075114076,0.4559240362811791
25,glass,34,6,0.7601511799695242,0.4587340312469074
26,glass,34,6,0.8038888888888889,0.45056409660638447
27,glass,34,6,0.7592301192958523,0.4620098039215686
28,glass,34,6,0.8470252877246388,0.6331862745098038
29,glass,34,6,0.8470252877246388,0.47222222222222215
30,glass,34,6,0.7940808171212336,0.5212045560929942
31,glass,34,6,0.7655555555555557,0.39777777777777773
