run,dataset,nin,nout,m,ftrain,ftest
41,gene,130,3,10,0.8954685471146675,0.8479255866938834
42,gene,130,3,10,0.9012681710802569,0.8525530885350975
43,gene,130,3,10,0.8979572678603871,0.8469140887722947
44,gene,130,3,10,0.8972626329987743,0.8433012859457246
45,gene,130,3,10,0.8961421753537527,0.8444120059718946
46,gene,130,3,10,0.8962126422407386,0.8467751507382614
47,gene,130,3,10,0.9055360787625993,0.846711874186488
48,gene,130,3,10,0.8951119880153273,0.8493567110320809
49,gene,130,3,10,0.8931671776330085,0.8542702307975795
50,gene,130,3,10,0.8983477091655012,0.8513663533421921
1,gene,135,3,15,0.8988050516753386,0.8525058059304635
2,gene,135,3,15,0.8970563267845121,0.842956375766119
3,gene,135,3,15,0.903088271949993,0.8481250653524238
4,gene,135,3,15,0.9035045931757025,0.8516977634624693
5,gene,135,3,15,0.9018451853384359,0.8424712927082054
6,gene,135,3,15,0.9032249129475688,0.8510031782081645
7,gene,135,3,15,0.9049325722465524,0.8409038383205759
8,gene,135,3,15,0.9015667881927046,0.8459537993784569
9,gene,135,3,15,0.901187476925006,0.8450234246973555
10,gene,135,3,15,0.9042004239620617,0.8517867580636591
11,gene,135,3,15,0.9005439922670643,0.8563044051302451
12,gene,135,3,15,0.8996467779927425,0.8396301758797159
13,gene,135,3,15,0.9023673331894472,0.8530444214301635
14,gene,135,3,15,0.9034723347150879,0.8579673516299597
15,gene,135,3,15,0.9004104549431965,0.8394193740770207
16,gene,135,3,15,0.897832951521707,0.8473838119976862
17,gene,135,3,15,0.8938288170922356,0.8432251357179951
18,gene,135,3,15,0.8984976638425851,0.8538414500570379
19,gene,135,3,15,0.9024874496369552,0.8533919005553555
20,gene,135,3,15,0.9046960402706322,0.8517748861869682
21,gene,135,3,15,0.8958597106851984,0.859447741800683
22,gene,135,3,15,0.8970815518736442,0.8517338177084057
23,gene,135,3,15,0.9019897019142378,0.8586550872584091
24,gene,135,3,15,0.9024575823649634,0.836701368835182
25,gene,135,3,15,0.9009764016495482,0.8551672669319728
26,gene,135,3,15,0.900505366743583,0.8395172475219809
27,gene,135,3,15,0.8982338527020116,0.8464596524966281
28,gene,135,3,15,0.9014642175228932,0.8455817720523603
29,gene,135,3,15,0.8947254500598127,0.8554816532513937
30,gene,135,3,15,0.8971796623444881,0.8461204650773883
31,gene,135,3,15,0.899442067718633,0.8450445000317771
32,gene,135,3,15,0.8983675527539999,0.8400538686481053
33,gene,135,3,15,0.898834854064825,0.8350727794910372
34,gene,135,3,15,0.8935025386106291,0.8451533444916483
35,gene,135,3,15,0.8972739352350323,0.854518793704374
36,gene,135,3,15,0.9079489456129824,0.8548105204392485
37,gene,135,3,15,0.896820320864637,0.8556289288119013
38,gene,135,3,15,0.9010643011642175,0.8391496111862162
39,gene,135,3,15,0.9005383177503177,0.8446108058440321
40,gene,135,3,15,0.8994480319166337,0.8468445038763232
41,gene,135,3,15,0.8966641000671777,0.8417918559475233
42,gene,135,3,15,0.8967578277498226,0.8513133981317718
43,gene,135,3,15,0.9030268983935783,0.8466712393538457
44,gene,135,3,15,0.8962832761081235,0.8378317937141467
45,gene,135,3,15,0.903464523822055,0.8371077244457105
46,gene,135,3,15,0.8990251058821702,0.8499891223534051
47,gene,135,3,15,0.8965608841315377,0.8369402719569741
48,gene,135,3,15,0.8953672301048935,0.8452295324451476
49,gene,135,3,15,0.8954079539412868,0.8520821745559246
50,gene,135,3,15,0.8996485477380927,0.8520266376516527
1,gene,140,3,20,0.896999498115259,0.8495516029540461
2,gene,140,3,20,0.9009274046644903,0.8567778912112552
3,gene,140,3,20,0.9023574540077247,0.852883226260707
4,gene,140,3,20,0.9076610266487118,0.8467645072840231
5,gene,140,3,20,0.8991190473184734,0.8432032422951773
6,gene,140,3,20,0.9008340110728111,0.8467305258716302
7,gene,140,3,20,0.9004527117528623,0.8489006775194777
8,gene,140,3,20,0.9091405296690752,0.8385310676977343
9,gene,140,3,20,0.8965943004571896,0.857806116198177
10,gene,140,3,20,0.8985921202748034,0.8482742766532013
11,gene,140,3,20,0.9033565762521754,0.8517160018610549
12,gene,140,3,20,0.9034159347722515,0.8526580367071165
13,gene,140,3,20,0.8992064035382737,0.8456789075558229
14,gene,140,3,20,0.9079231516815693,0.8412889950457177
15,gene,140,3,20,0.9012023935234937,0.8397714472832855
16,gene,140,3,20,0.8947378564884539,0.8528631047999772
17,gene,140,3,20,0.9044744716166561,0.8508313644581987
18,gene,140,3,20,0.9013040786892578,0.8526846170200697
19,gene,140,3,20,0.9041926684118499,0.8553023344376965
20,gene,140,3,20,0.9049717546504028,0.8381675394824099
21,gene,140,3,20,0.9006969458359624,0.8407419102428898
22,gene,140,3,20,0.8993860497742528,0.8433207591422187
23,gene,140,3,20,0.9050461105757245,0.8483816081038303
24,gene,140,3,20,0.9036162486800571,0.8423880121154154
25,gene,140,3,20,0.9027976459642538,0.8431522931522931
26,gene,140,3,20,0.9068558436410893,0.8422642839322504
27,gene,140,3,20,0.9053109964966071,0.8429057107431998
28,gene,140,3,20,0.8965933396508431,0.8463534433303078
29,gene,140,3,20,0.9001421162723188,0.8383168995234783
30,gene,140,3,20,0.9004804164412336,0.8416821984154034
31,gene,140,3,20,0.9057663612574375,0.8391702548121103
32,gene,140,3,20,0.9000289376841675,0.854673250846178
33,gene,140,3,20,0.9054412044916184,0.8527617040228345
34,gene,140,3,20,0.9051779425589501,0.849369674907695
35,gene,140,3,20,0.8968787976770219,0.8511984594101443
36,gene,140,3,20,0.8980252291124063,0.8454354929153713
37,gene,140,3,20,0.9038173950357592,0.8540509262611059
38,gene,140,3,20,0.9005236401575525,0.8448879551820728
39,gene,140,3,20,0.9014697215730557,0.858877452113429
40,gene,140,3,20,0.9060910785438945,0.8569445595446054
41,gene,140,3,20,0.9042848187421307,0.8524080334046559
42,gene,140,3,20,0.9027340206478104,0.8452642466365096
43,gene,140,3,20,0.9084154129954766,0.8417406542700329
44,gene,140,3,20,0.8945856022166067,0.8450945340515893
45,gene,140,3,20,0.8984975372397165,0.8619311710409078
46,gene,140,3,20,0.9022256171393139,0.8479115865538821
47,gene,140,3,20,0.898216904238971,0.8407764466229969
48,gene,140,3,20,0.8971201301376684,0.8421348849384831
49,gene,140,3,20,0.9033327819220588,0.8566778463706539
50,gene,140,3,20,0.8967463539732511,0.8569069101907406
1,gene,145,3,25,0.9076564106980619,0.8536360994505946
2,gene,145,3,25,0.9040608228636083,0.842529032305883
3,gene,145,3,25,0.896798020534573,0.8484084877625752
4,gene,145,3,25,0.8967744984060172,0.8434897650475198
5,gene,145,3,25,0.9039323203153647,0.8501906279323093
6,gene,145,3,25,0.9059697091636948,0.8265642144133619
7,gene,145,3,25,0.9059116880838634,0.8482415815156424
8,gene,145,3,25,0.9098118503944361,0.8405111099042549
9,gene,145,3,25,0.903939436558499,0.8325614141122162
10,gene,145,3,25,0.900946145735816,0.833758978401681
11,gene,145,3,25,0.9106687494632807,0.8442495581537389
12,gene,145,3,25,0.9089576361341897,0.8534238837170219
13,gene,145,3,25,0.9023629593713727,0.852385139149845
14,gene,145,3,25,0.9033473495682843,0.8583450874428674
15,gene,145,3,25,0.9120090766697472,0.8477604814775522
16,gene,145,3,25,0.9059701979173433,0.8428891654394425
17,gene,145,3,25,0.9045268167840453,0.8323431755338762
