run,dataset,nin,nout,m,ftrain,ftest
28,poker,20,10,10,0.07984219376494002,0.08002781990295163
29,poker,20,10,10,0.06995165323709697,0.06997973863797514
30,poker,20,10,10,0.07001473938014638,0.07022242287848487
31,poker,20,10,10,0.07633731882654685,0.07672034884295534
32,poker,20,10,10,0.0701494340083926,0.07001546413448989
33,poker,20,10,10,0.08533847369438488,0.08442201495394017
34,poker,20,10,10,0.08447401321547379,0.08418986048654777
35,poker,20,10,10,0.09614757833529983,0.09477562690039536
36,poker,20,10,10,0.09052794047879005,0.09002307661331185
37,poker,20,10,10,0.07589087368221581,0.0756836125245443
38,poker,20,10,10,0.07114989007926814,0.07099922509279172
39,poker,20,10,10,0.08121099423375173,0.08095134984891997
40,poker,20,10,10,0.07175329294385703,0.07141798223939995
41,poker,20,10,10,0.09287313238864352,0.09278274557147212
42,poker,20,10,10,0.07609718681382631,0.0766850817746468
43,poker,20,10,10,0.0703030992878649,0.07048310509987202
44,poker,20,10,10,0.07939057103542672,0.07994600594675344
45,poker,20,10,10,0.0737701116111223,0.07323183968992515
46,poker,20,10,10,0.07157562873621774,0.07087855688456514
47,poker,20,10,10,0.07171965399705947,0.07200486878944415
48,poker,20,10,10,0.08119787634356816,0.08097692283654807
49,poker,20,10,10,0.08472531924308965,0.08448499593567801
50,poker,20,10,10,0.07106627514335188,0.07088081808289765
1,poker,25,10,15,0.09270909935985452,0.09244828629132851
2,poker,25,10,15,0.09249266976215217,0.0918322082810624
3,poker,25,10,15,0.08584334070198273,0.08534907064908717
4,poker,25,10,15,0.0793544559939613,0.07894437951784754
5,poker,25,10,15,0.07741320855783738,0.07732047062377964
6,poker,25,10,15,0.08839713860902443,0.08797259302129158
7,poker,25,10,15,0.08990301940759673,0.0897748799567038
8,poker,25,10,15,0.07510709768361652,0.07546977653457762
9,poker,25,10,15,0.09419720253653338,0.09337889080766847
10,poker,25,10,15,0.08197927335897424,0.08186125488488526
11,poker,25,10,15,0.09360106900487686,0.09277663038422204
12,poker,25,10,15,0.08786043658243378,0.0875299474687364
13,poker,25,10,15,0.08749732525161759,0.08757952720824835
14,poker,25,10,15,0.08807760574762229,0.08634636986334746
15,poker,25,10,15,0.0853083375722413,0.08473403245987161
16,poker,25,10,15,0.09357165537328611,0.0935966094096799
17,poker,25,10,15,0.08141721541944338,0.08021798597634519
18,poker,25,10,15,0.09019915531996424,0.08999143329516034
19,poker,25,10,15,0.08738723762950458,0.08672821976093059
20,poker,25,10,15,0.08531219476769145,0.08404047451062535
21,poker,25,10,15,0.07892528528476375,0.078769859953182
22,poker,25,10,15,0.0769729243811107,0.07732956614717264
23,poker,25,10,15,0.09349852521805944,0.09312802239809362
24,poker,25,10,15,0.08617898084352905,0.08603557729424247
25,poker,25,10,15,0.07514539805326556,0.07480755274553325
26,poker,25,10,15,0.08659730208726815,0.08649863954570136
