run,dataset,nin,nout,time,ftrain,ftest,nsel,nenhanced,sel
3,heart,57,2,29.979537,0.8946886446886446,0.7992562234365513,"31","11","1110101111101010011100010011110011110111000101000000101010"
4,heart,57,2,37.2894678,0.8983845252501969,0.8075167376749848,"30","14","1111110010011000000100110001111001000111101111010101000011"
5,heart,57,2,23.7119454,0.8944045911047346,0.8295033358042995,"31","13","1010101011100000010101111011101101000110111101000110010011"
6,heart,57,2,11.7599399,0.896925402024305,0.8075167376749848,"24","10","1010001000011001010101010101100100010010101000011100101100"
7,heart,57,2,25.6476372,0.8792794942144817,0.764344262295082,"29","10","1001110011111010010100101101011100100001011000011000010111"
8,heart,57,2,32.6532111,0.8939664611306402,0.780952380952381,"29","16","1100011001101101010100000001100001011110011111110100100110"
9,heart,57,2,21.4470574,0.8880591673625193,0.786046511627907,"25","8","1001001001111001011101001001111000010100001110001010000100"
10,heart,57,2,25.6517321,0.9008577955946377,0.8117588838767391,"29","9","1110001011111110010101011001110010011110010010010001010000"
11,heart,57,2,21.6045367,0.9010511522521618,0.7996212121212121,"28","12","1010001010001010010100111101100110010011010011111101100000"
12,heart,57,2,36.948813,0.9032948551333997,0.8160000000000001,"33","14","1110001101100110010101011001111100101110101100111011001010"
13,heart,57,2,25.0459517,0.9032042085126734,0.7939343106044721,"29","10","1110001111110000010101011101110010000000111100100011011001"
14,heart,57,2,21.5709438,0.8895483970110836,0.7676280523837664,"26","9","1111110010101100010100011001001100111000100011000010000011"
15,heart,57,2,27.9988186,0.9010511522521618,0.7818002428658166,"29","10","1110011000111110010101100011110011100100001000001011001011"
16,heart,57,2,18.5340677,0.8920451552030499,0.7851655578642368,"29","14","1110001111100110001000111100000000101010001110101110110101"
17,heart,57,2,35.4387466,0.9075137867647058,0.7900182592818016,"33","15","1010001110101110011100010101101100111110111000111100100101"
18,heart,57,2,47.8932334,0.9010511522521618,0.8023715415019763,"37","19","1000011101111000011101001101101101101111001011101111111110"
19,heart,57,2,19.3654755,0.8941940925034981,0.7621783088235294,"26","11","1111010000000010011101010001101010100100110001101001101100"
20,heart,57,2,14.5713415,0.8968388405105571,0.8032730797741916,"24","8","1110001011101110000101010001001101000001000100000010110101"
21,heart,57,2,19.6198614,0.8944045911047346,0.7990274295266317,"28","9","1111110001111100010110000011110010110100110001000001010100"
22,heart,57,2,36.3400455,0.8897855130244772,0.777042823744084,"32","12","1110101010101110001101100111110011000100010010111100110011"
23,heart,57,2,42.0189078,0.8988991667303723,0.8202405688251777,"34","15","1100011100110100011101011101110011110111101110100101011000"
24,heart,57,2,20.5905276,0.9032042085126734,0.7773137161841481,"30","16","1001110010110000000100010101111001011000001101111011011111"
25,heart,57,2,19.6659827,0.8987055759803921,0.7945296610974891,"31","14","1111110001100010011101011001100001111101000010010111100011"
1,horse,83,3,46.2714422,0.63988125358432,0.5263616557734205,"40","13","111100001000100010100011101000110001011100110000111011010100110000110001011011101011"
2,horse,83,3,36.8346887,0.7881807081807081,0.511402157164869,"38","9","101010111111010111001011100011010101001000110000100110010001101110100100010010000000"
3,horse,83,3,68.0803991,0.7452665480125434,0.5437765634486946,"36","9","111110001001000111000010010011010011001011110010000011100100110011101010000000001001"
4,horse,83,3,45.8243457,0.7590483899604777,0.5521747501661419,"39","9","101101011111111011000100110011100011001001100101000101010001000101101100000000100011"
5,horse,83,3,85.2908558,0.7383031888311163,0.5102564102564103,"41","13","111111010101100111000000110000010011110010100011000010011101101001011011000111011000"
6,horse,83,3,82.1795948,0.7784865627984977,0.5114478114478115,"43","13","111110010100000111000111100010000111100010000011110011110110000111100001010010111111"
7,horse,83,3,56.0497296,0.7258183685789715,0.4529560616517138,"37","13","111100100101101110000010100101001100001110100000000010010101100100101001111100011001"
8,horse,83,3,48.6392694,0.7165057165057166,0.5449431805242423,"42","14","111110011100100011000000110100000011111001100011100011100101111110011100110100100010"
9,horse,83,3,53.0024526,0.712473863037129,0.5431665136210592,"29","10","101100001000001000000000110101010001111010100001000010001001001000101011000000101110"
10,horse,83,3,57.0175698,0.7521469583725189,0.5767676767676768,"37","7","110001111111001011111000100100000011101011000011000111100100101100001000001010000100"
11,horse,83,3,45.837116,0.7342673751457075,0.5191735582303011,"34","13","110000111101000001000011100011100001000010100000000011110000101000101111010110001011"
12,horse,83,3,42.0775027,0.7108451485087097,0.5114567332309268,"39","8","111101001000110011111000111110010001101010110011000011000110001100100111010000000100"
13,horse,83,3,128.4525282,0.7716621113830865,0.5566754884847119,"44","14","111110011010001111000000111010001001110111110000100011010101000011101100010110110111"
14,horse,83,3,66.3191922,0.7337712096332787,0.5294940172988953,"38","13","111101011000001011000101000100100000011011110001001001100101011111001011010010010100"
15,horse,83,3,42.7313377,0.7248831153884886,0.5005063905055346,"37","12","111010001001110111001101001001010101001000000011000011100000011101110011001000101100"
16,horse,83,3,54.3748741,0.679007850722494,0.4008264462809918,"35","11","111110101100000000001100110101001101001000010000011011000101101010101001100110000001"
17,horse,83,3,55.4005393,0.786142893465548,0.45769496204278814,"44","16","111110000101111000100000000111010001011001110000110011100111001001111000111110101111"
18,horse,83,3,61.6437483,0.6771814197805371,0.5514412416851441,"42","8","111110111101101011000000111100101001111001100011001010011110011101000000001101000100"
19,horse,83,3,65.6498607,0.8046258503401361,0.4984862416182638,"43","14","111101000110100101011011110100001111010000010011010010000110011101010010110011111100"
20,horse,83,3,41.187129,0.7800226053565984,0.5506968641114982,"38","11","111011111110110011000001100000000001001100010011010100011100000111001100001100111100"
21,horse,83,3,59.7091937,0.8607142857142857,0.48364389233954447,"40","14","111001000110010001001010111000101001100010100011011101010000101111111101100010010010"
22,horse,83,3,58.5658735,0.8104377104377104,0.5133952768099109,"41","10","111110010111100011111001101000100000111000100011100011010111110011000001011100000100"
23,horse,83,3,73.6869517,0.7670326452935149,0.5637958532695374,"39","8","110111001110010001110101101101001101000101110001101111000000000001100000010011100011"
24,horse,83,3,41.7090001,0.7555080180941213,0.5365581098339719,"33","12","101110001100001001000001100100000001001000000111000111000110011000011000111011011010"
25,horse,83,3,68.7057883,0.7920651735487603,0.6353089430894309,"43","12","111100101000001010001111100110010111111010110001001101110001101010000001110110110001"
1,mushroom,140,2,119.3847453,1.0,1.0,"11","0","100000000000000000000011100011000000000010000000000010000000000000000000000000000000000010000000001001000000000000000000000000000000000000000"
2,mushroom,140,2,95.2126617,1.0,1.0,"13","0","100000000000000000000100010000000000000000000000000011010000000000100000100000000000000100100000011001000000000000000000000000000000000000000"
3,mushroom,140,2,111.3381959,1.0,1.0,"12","0","100000000000000000000010010000100000000010000000000010000000000000000000000000000000000100101000011001000000000000000000000000000000000000000"
4,mushroom,140,2,207.0685789,1.0,1.0,"14","0","100000000000000000000010111110010001100000000000000100010000010000000000000000000000000000000000001000000000000000000000000000000000000000000"
5,mushroom,140,2,87.7726889,1.0,1.0,"10","0","100000000000000000000001100001000000000010000000000010000000000000000000000000000000000101000000001001000000000000000000000000000000000000000"
6,mushroom,140,2,95.8630782,1.0,1.0,"12","0","100000000000000000000000010000100000000000000000000110000000000000000000000000000000000101100100011001000000000000000000000000000000000000000"
7,mushroom,140,2,142.1300782,1.0,1.0,"15","0","100000000000000000001100010100000000100010000000001001010000010000101000000000000000100000000000001000000000000000000000000000000000000000000"
8,mushroom,140,2,118.177842,1.0,1.0,"13","0","100000000000000000000010010100000000000010000000001001010000010000000000000100000000010100000000001000000000000000000000000000000000000000000"
9,mushroom,140,2,100.1912231,1.0,1.0,"12","0","100000000000000000000010010000000000000000000000000110100000000000000000000000000000000010010100011001000000000000000000000000000000000000000"
10,mushroom,140,2,94.282555,1.0,1.0,"13","0","100000000000000000000000010010100000000000000000001010000000000000000000000000000000000101110000011001000000000000000000000000000000000000000"
11,mushroom,140,2,124.6780301,1.0,1.0,"14","0","100000000000100000000000000001000000100000000000001011010000000000001000000000000000100010000100001001000000000000000000000000000000000000000"
12,mushroom,140,2,152.1557088,1.0,1.0,"12","0","100000000000100000000100010000000000000000000000000011010000000000000000000000000000000010100000011001000000000000000000000000000000000000000"
