run,dataset,nin,nout,time,ftrain,ftest,nsel,nenhanced,sel
1,horse,83,3,40.8793182,0.6784730913642053,0.5739596607071604,"35","8","111101101000101000101000110000001001001100110011011011000110010000110001011000001001"
2,horse,83,3,40.9823309,0.8561001548718155,0.6105884630274874,"39","10","111111010011101110010000110001010001001010110001111101000000110011100100100110001000"
3,horse,83,3,64.5645449,0.7329850543000066,0.6413158564861351,"37","8","111111101001111000110110010010010001100010110010000111000100010011101100000000100001"
4,horse,83,3,39.5274566,0.7668219461697724,0.5378151260504201,"36","9","100000110101010001001000110010001011001011001101100110110110000100101101001010000011"
5,horse,83,3,49.6669294,0.747425225683006,0.5609756097560975,"36","11","111101011000100011000011011000000011001011110011000010010000101100011111100000001100"
6,horse,83,3,83.1547429,0.7769878785878884,0.49880525686977295,"44","13","110001100101010101001111110001010101110001010011010111010010000010111001011110101011"
7,horse,83,3,49.8877448,0.7076736019744304,0.47062841530054644,"41","12","111101001000001011101011010100001111001110110011000010100100100001110011110110011000"
8,horse,83,3,42.4338616,0.732759962017604,0.5766046653995914,"43","12","111110000100111100100001101101100001011001101011010111110001111010000100000001111110"
9,horse,83,3,52.7302827,0.8094323144104804,0.6107446276861569,"39","15","110011000000000111000110110001010100000000101001111100010111001110110111100000011111"
10,horse,83,3,34.5372809,0.7267770876466528,0.5318772136953954,"39","10","111101111100011010011000110000100001000011100011011011100010110100101010001010000110"
11,horse,83,3,38.2465082,0.7990762501632066,0.5599359360969268,"38","10","110011111101101000101000111011000001010011000000110110010010101101101100000100001010"
12,horse,83,3,32.3663413,0.7979351032448377,0.4428771127208031,"41","7","111110100100101111011000111100101001101110110011000011100110001100000101010000010100"
13,horse,83,3,96.2373789,0.7815703609286313,0.46120875732346595,"51","16","111110101100101111000001111101101000011111110011010011100101011011011100001011111110"
14,horse,83,3,59.8049505,0.7858524620789819,0.4249575551782683,"52","19","111111011110110110011101000101100100001001110001011010011101111011101011010111011111"
15,horse,83,3,30.0033141,0.6797173063663525,0.46176821983273597,"37","10","101111101010010110001000010000011001101011100011000011100100001101000001100000111110"
16,horse,83,3,29.7411154,0.7654889160886712,0.44462154007608556,"43","12","111100111111110100101010110000111001011000110101010010001001101011100101110010000001"
