lambda,run,dataset,nin,nout,ftrain,ftest,atrain,atest
10.0,14,glass,34,6,0.14506172839506173,0.12248803827751195,0.6635514018691588,0.7358490566037735
10.0,15,glass,34,6,0.14765042856527547,0.12352941176470589,0.6635514018691588,0.7358490566037735
10.0,16,glass,34,6,0.15374808771035187,0.13610389610389612,0.6635514018691588,0.7358490566037735
10.0,17,glass,34,6,0.14556394827806937,0.13529411764705884,0.6635514018691588,0.7358490566037735
10.0,18,glass,34,6,0.14459232458974028,0.14814814814814814,0.6635514018691588,0.7358490566037735
10.0,19,glass,34,6,0.1467554511032772,0.12352941176470589,0.6635514018691588,0.7358490566037735
10.0,20,glass,34,6,0.15781163316690136,0.13610389610389612,0.6635514018691588,0.7358490566037735
10.0,21,glass,34,6,0.14642375168690958,0.14814814814814814,0.6635514018691588,0.7358490566037735
10.0,22,glass,34,6,0.14718614718614717,0.11036682615629982,0.6635514018691588,0.7358490566037735
10.0,23,glass,34,6,0.15234526424602662,0.137037037037037,0.6635514018691588,0.7358490566037735
10.0,24,glass,34,6,0.14928716027049146,0.13610389610389612,0.6635514018691588,0.7358490566037735
10.0,25,glass,34,6,0.15013015832373147,0.137037037037037,0.6635514018691588,0.7358490566037735
10.0,26,glass,34,6,0.15196328403875572,0.14753246753246751,0.6635514018691588,0.7358490566037735
10.0,27,glass,34,6,0.14415584415584415,0.13610389610389612,0.6635514018691588,0.7358490566037735
10.0,28,glass,34,6,0.14506172839506173,0.13610389610389612,0.6635514018691588,0.7358490566037735
10.0,29,glass,34,6,0.14765042856527547,0.12352941176470589,0.6635514018691588,0.7358490566037735
10.0,30,glass,34,6,0.14524291497975708,0.15971443141254463,0.6635514018691588,0.7358490566037735
10.0,1,heart,57,2,0.819776775475881,0.7426561225844379,0.8217391304347826,0.7434782608695653
10.0,2,heart,57,2,0.8280654003181844,0.7426561225844379,0.8304347826086956,0.7434782608695653
10.0,3,heart,57,2,0.8152080344332855,0.7513796438527621,0.8173913043478261,0.7521739130434782
10.0,4,heart,57,2,0.8127313916787601,0.7426561225844379,0.8152173913043478,0.7434782608695653
10.0,5,heart,57,2,0.8218920740538913,0.7513796438527621,0.8239130434782609,0.7521739130434782
10.0,6,heart,57,2,0.8176616951062845,0.7471377663204186,0.8195652173913044,0.7478260869565218
10.0,7,heart,57,2,0.8192482413601426,0.7426561225844379,0.8217391304347826,0.7434782608695653
10.0,8,heart,57,2,0.8238357843137255,0.7468882817243473,0.8260869565217391,0.7478260869565218
10.0,9,heart,57,2,0.8194316789215687,0.7468882817243473,0.8217391304347826,0.7478260869565218
10.0,10,heart,57,2,0.8192482413601426,0.7341745770097956,0.8217391304347826,0.7347826086956522
10.0,11,heart,57,2,0.819776775475881,0.7428901646488186,0.8217391304347826,0.7434782608695653
10.0,12,heart,57,2,0.8215440320703478,0.7468882817243473,0.8239130434782609,0.7478260869565218
10.0,13,heart,57,2,0.8262898006204619,0.7468882817243473,0.8282608695652174,0.7478260869565218
10.0,14,heart,57,2,0.8152080344332855,0.7468882817243473,0.8173913043478261,0.7478260869565218
10.0,15,heart,57,2,0.8196078431372549,0.7468882817243473,0.8217391304347826,0.7478260869565218
10.0,16,heart,57,2,0.8236568208391635,0.7468882817243473,0.8260869565217391,0.7478260869565218
10.0,17,heart,57,2,0.8173197000942588,0.7426561225844379,0.8195652173913044,0.7434782608695653
10.0,18,heart,57,2,0.8213592233009709,0.7426561225844379,0.8239130434782609,0.7434782608695653
10.0,19,heart,57,2,0.8218920740538913,0.7468882817243473,0.8239130434782609,0.7478260869565218
10.0,20,heart,57,2,0.8215440320703478,0.7468882817243473,0.8239130434782609,0.7478260869565218
10.0,21,heart,57,2,0.8173197000942588,0.7468882817243473,0.8195652173913044,0.7478260869565218
10.0,22,heart,57,2,0.8215440320703478,0.7468882817243473,0.8239130434782609,0.7478260869565218
10.0,23,heart,57,2,0.817137711874554,0.7426561225844379,0.8195652173913044,0.7434782608695653
10.0,24,heart,57,2,0.8194316789215687,0.7468882817243473,0.8217391304347826,0.7478260869565218
10.0,25,heart,57,2,0.8215440320703478,0.7468882817243473,0.8239130434782609,0.7478260869565218
10.0,26,heart,57,2,0.8194316789215687,0.7468882817243473,0.8217391304347826,0.7478260869565218
10.0,27,heart,57,2,0.8192482413601426,0.7468882817243473,0.8217391304347826,0.7478260869565218
10.0,28,heart,57,2,0.8108082257293161,0.7513796438527621,0.8130434782608695,0.7521739130434782
10.0,29,heart,57,2,0.8192482413601426,0.7426561225844379,0.8217391304347826,0.7434782608695653
10.0,30,heart,57,2,0.8215440320703478,0.7468882817243473,0.8239130434782609,0.7478260869565218
10.0,1,horse,83,3,0.24682814302191466,0.2649006622516556,0.6868131868131868,0.6923076923076923
10.0,2,horse,83,3,0.24682814302191466,0.2649006622516556,0.6813186813186813,0.6593406593406593
10.0,3,horse,83,3,0.24682814302191466,0.2649006622516556,0.6813186813186813,0.6593406593406593
10.0,4,horse,83,3,0.24682814302191466,0.2649006622516556,0.7362637362637363,0.6923076923076923
10.0,5,horse,83,3,0.24682814302191466,0.2649006622516556,0.6868131868131868,0.6483516483516484
10.0,6,horse,83,3,0.24682814302191466,0.2649006622516556,0.6923076923076923,0.6813186813186813
10.0,7,horse,83,3,0.24682814302191466,0.2649006622516556,0.6923076923076923,0.6923076923076923
10.0,8,horse,83,3,0.24682814302191466,0.2649006622516556,0.6868131868131868,0.6813186813186813
10.0,9,horse,83,3,0.24682814302191466,0.2649006622516556,0.6703296703296703,0.7252747252747253
10.0,10,horse,83,3,0.24682814302191466,0.2649006622516556,0.6593406593406593,0.6703296703296703
10.0,11,horse,83,3,0.24682814302191466,0.2649006622516556,0.6593406593406593,0.6263736263736264
10.0,12,horse,83,3,0.24682814302191466,0.2649006622516556,0.6648351648351648,0.6483516483516484
10.0,13,horse,83,3,0.24682814302191466,0.2649006622516556,0.6813186813186813,0.6593406593406593
10.0,14,horse,83,3,0.24682814302191466,0.2649006622516556,0.6923076923076923,0.6923076923076923
10.0,15,horse,83,3,0.24682814302191466,0.2649006622516556,0.6923076923076923,0.6813186813186813
10.0,16,horse,83,3,0.24682814302191466,0.2649006622516556,0.6868131868131868,0.6593406593406593
10.0,17,horse,83,3,0.24682814302191466,0.2649006622516556,0.6868131868131868,0.6593406593406593
10.0,18,horse,83,3,0.24682814302191466,0.2649006622516556,0.6813186813186813,0.6593406593406593
10.0,19,horse,83,3,0.24682814302191466,0.2649006622516556,0.6813186813186813,0.6593406593406593
10.0,20,horse,83,3,0.24682814302191466,0.2649006622516556,0.6813186813186813,0.6263736263736264
10.0,21,horse,83,3,0.24682814302191466,0.2649006622516556,0.6978021978021978,0.6703296703296703
10.0,22,horse,83,3,0.24682814302191466,0.2649006622516556,0.6758241758241759,0.6593406593406593
10.0,23,horse,83,3,0.24682814302191466,0.2649006622516556,0.7087912087912088,0.6043956043956044
10.0,24,horse,83,3,0.24682814302191466,0.2649006622516556,0.6813186813186813,0.6813186813186813
10.0,25,horse,83,3,0.24682814302191466,0.2649006622516556,0.6813186813186813,0.6593406593406593
10.0,26,horse,83,3,0.24682814302191466,0.2649006622516556,0.6758241758241759,0.6483516483516484
10.0,27,horse,83,3,0.24682814302191466,0.2649006622516556,0.6648351648351648,0.6813186813186813
10.0,28,horse,83,3,0.24682814302191466,0.2649006622516556,0.6868131868131868,0.6153846153846154
10.0,29,horse,83,3,0.24682814302191466,0.2649006622516556,0.6813186813186813,0.6483516483516484
10.0,30,horse,83,3,0.24682814302191466,0.2649006622516556,0.6813186813186813,0.6593406593406593
10.0,1,soybean,105,19,0.21428866069879074,0.19788588443356234,0.9853801169590644,0.9941176470588236
10.0,2,soybean,105,19,0.21800198648336758,0.19287103695033536,0.9853801169590644,0.9941176470588236
10.0,3,soybean,105,19,0.21103096320742054,0.19427802340969513,0.9853801169590644,0.9941176470588236
10.0,4,soybean,105,19,0.21306483616697763,0.19039999773344296,0.9853801169590644,0.9941176470588236
10.0,5,soybean,105,19,0.217024334284014,0.19427802340969513,0.9853801169590644,0.9941176470588236
10.0,6,soybean,105,19,0.21446956076335058,0.19885468244859672,0.9853801169590644,0.9941176470588236
10.0,7,soybean,105,19,0.21473927516450206,0.1949280842334779,0.9853801169590644,0.9941176470588236
10.0,8,soybean,105,19,0.21103096320742054,0.192113662817618,0.9853801169590644,0.9941176470588236
10.0,9,soybean,105,19,0.21351718426796182,0.19636588384556453,0.9853801169590644,0.9941176470588236
10.0,10,soybean,105,19,0.21047331491410437,0.19523306550349964,0.9853801169590644,0.9941176470588236
10.0,11,soybean,105,19,0.21133131585862905,0.19138371802913218,0.9853801169590644,0.9941176470588236
10.0,12,soybean,105,19,0.21945465667905611,0.19868919858124623,0.9853801169590644,0.9941176470588236
10.0,13,soybean,105,19,0.21386441329438804,0.19413384278208942,0.9853801169590644,0.9941176470588236
10.0,14,soybean,105,19,0.20875849867311205,0.18986699100848578,0.9853801169590644,0.9941176470588236
10.0,15,soybean,105,19,0.21800198648336758,0.1960366565005078,0.9853801169590644,0.9941176470588236
10.0,16,soybean,105,19,0.21133131585862905,0.19279234223105066,0.9853801169590644,0.9941176470588236
10.0,17,soybean,105,19,0.21968333443717852,0.19556720652569662,0.9853801169590644,0.9941176470588236
10.0,18,soybean,105,19,0.21244549566985418,0.19636588384556453,0.9853801169590644,0.9941176470588236
10.0,19,soybean,105,19,0.21034223152828524,0.18753168501560907,0.9853801169590644,0.9941176470588236
10.0,20,soybean,105,19,0.2133947132988089,0.19225933550609345,0.9853801169590644,0.9941176470588236
10.0,21,soybean,105,19,0.21217610429091754,0.192113662817618,0.9853801169590644,0.9941176470588236
10.0,22,soybean,105,19,0.21634132014545485,0.19520954470954255,0.9853801169590644,0.9941176470588236
10.0,23,soybean,105,19,0.21053949971908156,0.18998726602562546,0.9853801169590644,0.9941176470588236
10.0,24,soybean,105,19,0.21307633952555116,0.192113662817618,0.9853801169590644,0.9941176470588236
10.0,25,soybean,105,19,0.21487651637013533,0.19636588384556453,0.9853801169590644,0.9941176470588236
10.0,26,soybean,105,19,0.21244549566985418,0.1941262421882297,0.9853801169590644,0.9941176470588236
10.0,27,soybean,105,19,0.2101492399217293,0.19242764584792238,0.9853801169590644,0.9941176470588236
10.0,28,soybean,105,19,0.21029475306448453,0.19039999773344296,0.9853801169590644,0.9941176470588236
10.0,29,soybean,105,19,0.21278800432324224,0.19618961575216318,0.9853801169590644,0.9941176470588236
10.0,30,soybean,105,19,0.20800567411467039,0.18986699100848578,0.9853801169590644,0.9941176470588236
10.0,1,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,2,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,3,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,4,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,5,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,6,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
10.0,7,thyroid,46,3,0.3202463433410316,0.3207456519650235,0.9747222222222223,0.9777777777777777
